LINE_L3010580_0,L3010580,M1027036
LINE_L3010585_0,L3010585,M1026798
LINE_L3010585_1,L3010585,M1026805
LINE_L3011229_0,L3011229,M1126005
LINE_L3011293_0,L3011293,221-242079
LINE_L3011298_0,L3011298,196-36167
LINE_L3011298_1,L3011298,M1108295
LINE_L3027116_0,L3027116,M1047300
LINE_L3027116_1,L3027116,M1047303
LINE_L3027122_0,L3027122,M1108506
LINE_L3027122_1,L3027122,N1142105
LINE_L3027124_0,L3027124,M4122657
LINE_L3027132_0,L3027132,L3101787
LINE_L3027133_0,L3027133,M3037453
LINE_L3027133_1,L3027133,M3037538
LINE_L3027156_0,L3027156,L2860481
LINE_L3027156_1,L3027156,N1137987
LINE_L3027157_0,L3027157,L2973155
LINE_L3027157_1,L3027157,M1047737
LINE_L3027670_0,L3027670,M1108412
LINE_L3027670_1,L3027670,M1108459
LINE_L3027671_0,L3027671,M1108423
LINE_L3027671_1,L3027671,M1108462
LINE_L3029055_0,L3029055,M1125982
LINE_L3029183_0,L3029183,M1026745
LINE_L3029495_0,L3029495,D5565090-1_INT
LINE_L3029495_1,L3029495,M1008742
LINE_L3029497_0,L3029497,M1089170
LINE_L3029498_0,L3029498,L2933164
LINE_L3029498_1,L3029498,M1089143
LINE_L3029499_0,L3029499,M1047344
LINE_L3029500_0,L3029500,M1026764
LINE_L3029500_1,L3029500,M1026767
LINE_L3029501_0,L3029501,M1069393
LINE_L3029501_1,L3029501,M3036165
LINE_L3029502_0,L3029502,D6138608-3_INT
LINE_L3029502_1,L3029502,M1089131
LINE_L3029503_0,L3029503,M1069202
LINE_L3029503_1,L3029503,M1089132
LINE_L3029504_0,L3029504,L2879071
LINE_L3029504_1,L3029504,L3046854
LINE_L3029505_0,L3029505,L2673318
LINE_L3029505_1,L3029505,N1136661
LINE_L3029506_0,L3029506,M1047518
LINE_L3029506_1,L3029506,N1136668
LINE_L3029507_0,L3029507,M1026339
LINE_L3029510_0,L3029510,L2729409
LINE_L3029510_1,L3029510,L3160108
LINE_L3029518_0,L3029518,L2897807
LINE_L3029518_1,L3029518,N1139257
LINE_L3029520_0,L3029520,L3139086
LINE_L3030126_0,L3030126,L3254870
LINE_L3030126_1,L3030126,P895107
LINE_L3030197_0,L3030197,M1142865
LINE_L3030197_1,L3030197,M1142868
LINE_L3030199_0,L3030199,L2955074
LINE_L3030199_1,L3030199,M1125934
LINE_L3030200_0,L3030200,L2711225
LINE_L3030203_0,L3030203,L3160871
LINE_L3030203_1,L3030203,L3179673
LINE_L3030204_0,L3030204,L2823611
LINE_L3030204_1,L3030204,M1186072
LINE_L3030205_0,L3030205,M1166358
LINE_L3045895_0,L3045895,M1108329
LINE_L3045895_1,L3045895,M1108331
LINE_L3046854_0,L3046854,L3029504
LINE_L3046854_1,L3046854,M1047453
LINE_L3047058_0,L3047058,M1026732
LINE_L3047073_0,L3047073,L2803194
LINE_L3047073_1,L3047073,M1069250
LINE_L3047289_0,L3047289,M1089145
LINE_L3048196_0,L3048196,M1089097
LINE_L3048196_1,L3048196,M1089103
LINE_L3048199_0,L3048199,M1047836
LINE_L3048199_1,L3048199,M1047837
LINE_L3048200_0,L3048200,L2954339
LINE_L3048200_1,L3048200,M1008733
LINE_L3048201_0,L3048201,L3225319
LINE_L3048203_0,L3048203,L2876846
LINE_L3048205_0,L3048205,M1108353
LINE_L3048205_1,L3048205,M1108361
LINE_L3048206_0,L3048206,L2766718
LINE_L3048206_1,L3048206,M1069156
LINE_L3048207_0,L3048207,M1047786
LINE_L3048207_1,L3048207,M3036164
LINE_L3048208_0,L3048208,M1089118
LINE_L3048209_0,L3048209,L2673320
LINE_L3048210_0,L3048210,M1026377
LINE_L3048211_0,L3048211,M1047322
LINE_L3048212_0,L3048212,M1026906
LINE_L3048214_0,L3048214,L2935559
LINE_L3048221_0,L3048221,D5835167-6_INT
LINE_L3048221_1,L3048221,M1026681
LINE_L3048222_0,L3048222,L3122837
LINE_L3048227_0,L3048227,N1139263
LINE_L3048228_0,L3048228,L2991940
LINE_L3048228_1,L3048228,M1108361
LINE_L3048230_0,L3048230,L2991943
LINE_L3048230_1,L3048230,M1047303
LINE_L3048231_0,L3048231,M1026492
LINE_L3048887_0,L3048887,M1125966
LINE_L3048887_1,L3048887,P895106
LINE_L3048888_0,L3048888,L3064514
LINE_L3048888_1,L3048888,M1149249
LINE_L3048889_0,L3048889,M1166402
LINE_L3048889_1,L3048889,M1166407
LINE_L3048890_0,L3048890,M1166399
LINE_L3048890_1,L3048890,M1166402
LINE_L3048937_0,L3048937,L2804957
LINE_L3048937_1,L3048937,L3176661
LINE_L3048946_0,L3048946,M1166387
LINE_L3048962_0,L3048962,P895112
LINE_L3048963_0,L3048963,M1125940
LINE_L3048965_0,L3048965,M1142843
LINE_L3048965_1,L3048965,M1149233
LINE_L3048966_0,L3048966,M1166386
LINE_L3048968_0,L3048968,M1108360
LINE_L3064514_0,L3064514,L3048888
LINE_L3064514_1,L3064514,M1166407
LINE_L3065665_0,L3065665,L3235946
LINE_L3065665_1,L3065665,M1108499
LINE_L3065696_0,L3065696,M1026734
LINE_L3065750_0,L3065750,L3234185
LINE_L3066801_0,L3066801,M1069147
LINE_L3066804_0,L3066804,M1047733
LINE_L3066805_0,L3066805,M1069384
LINE_L3066806_0,L3066806,L2822862
LINE_L3066807_0,L3066807,M1089163
LINE_L3066808_0,L3066808,L3141396
LINE_L3066809_0,L3066809,L2785517
LINE_L3066809_1,L3066809,M1069487
LINE_L3066810_0,L3066810,L2897769
LINE_L3066810_1,L3066810,N1139258
LINE_L3066811_0,L3066811,M1047780
LINE_L3066812_0,L3066812,L2841622
LINE_L3066812_1,L3066812,M1047755
LINE_L3066813_0,L3066813,L2991910
LINE_L3066813_1,L3066813,M1069412
LINE_L3066814_0,L3066814,N1134476
LINE_L3066814_1,L3066814,N1134477
LINE_L3066815_0,L3066815,196-29519
LINE_L3066815_1,L3066815,M1047548
LINE_L3066816_0,L3066816,M1026667
LINE_L3066816_1,L3066816,M1026682
LINE_L3066817_0,L3066817,221-240991
LINE_L3066818_0,L3066818,L3178981
LINE_L3066818_1,L3066818,N1139538
LINE_L3066819_0,L3066819,M1047344
LINE_L3066821_0,L3066821,L3156034
LINE_L3066821_1,L3066821,M1009691
LINE_L3066826_0,L3066826,M1069572
LINE_L3066829_0,L3066829,L2841645
LINE_L3066830_0,L3066830,L2989432
LINE_L3066830_1,L3066830,L3197660
LINE_L3067447_0,L3067447,M1108486
LINE_L3067448_0,L3067448,L2763407
LINE_L3067448_1,L3067448,L2937757
LINE_L3067478_0,L3067478,M1125990
LINE_L3067478_1,L3067478,M1125994
LINE_L3067506_0,L3067506,M1166370
LINE_L3067506_1,L3067506,M1166386
LINE_L3067507_0,L3067507,M1142839
LINE_L3068944_0,L3068944,M1125911
LINE_L3068944_1,L3068944,M1125913
LINE_L3081380_0,L3081380,D5799561-2_INT
LINE_L3081380_1,L3081380,M1142843
LINE_L3082981_0,L3082981,L3216343
LINE_L3082981_1,L3082981,M1108368
LINE_L3082983_0,L3082983,E206614
LINE_L3082983_1,L3082983,M1069588
LINE_L3082988_0,L3082988,L3160868
LINE_L3082988_1,L3082988,M1149225
LINE_L3082992_0,L3082992,M1047406
LINE_L3082992_1,L3082992,M1047409
LINE_L3082993_0,L3082993,L3177894
LINE_L3082993_1,L3082993,M3016088
LINE_L3083019_0,L3083019,M1027080
LINE_L3083019_1,L3083019,N1144667
LINE_L3085388_0,L3085388,M1026307
LINE_L3085389_0,L3085389,M1008752
LINE_L3085390_0,L3085390,L3160100
LINE_L3085391_0,L3085391,M3036167
LINE_L3085392_0,L3085392,M1089170
LINE_L3085393_0,L3085393,M1108368
LINE_L3085394_0,L3085394,M1108340
LINE_L3085395_0,L3085395,M1069155
LINE_L3085396_0,L3085396,L3122813
LINE_L3085396_1,L3085396,M1069130
LINE_L3085397_0,L3085397,M3036164
LINE_L3085398_0,L3085398,M1026891
LINE_L3085398_1,L3085398,M1026907
LINE_L3085399_0,L3085399,L2748133
LINE_L3085399_1,L3085399,L2821770
LINE_L3085400_0,L3085400,M1069210
LINE_L3085401_0,L3085401,N1136664
LINE_L3085402_0,L3085402,M1026387
LINE_L3085402_1,L3085402,M1026394
LINE_L3085403_0,L3085403,L2860493
LINE_L3085410_0,L3085410,L2860499
LINE_L3085410_1,L3085410,M1069555
LINE_L3086002_0,L3086002,L2842330
LINE_L3086002_1,L3086002,M1126031
LINE_L3086074_0,L3086074,M3037455
LINE_L3086075_0,L3086075,M1209750
LINE_L3086078_0,L3086078,L2936270
LINE_L3086078_1,L3086078,M4118755
LINE_L3086079_0,L3086079,L2936276
LINE_L3086079_1,L3086079,M3036172
LINE_L3086098_0,L3086098,M1166368
LINE_L3091052_0,L3091052,M1047404
LINE_L3097861_0,L3097861,M1108508
LINE_L3101194_0,L3101194,L2862616
LINE_L3101194_1,L3101194,L2951995
LINE_L3101782_0,L3101782,M1126020
LINE_L3101787_0,L3101787,L3027132
LINE_L3101787_1,L3101787,L3101788
LINE_L3101788_0,L3101788,L3101787
LINE_L3101788_1,L3101788,M1027109
LINE_L3101789_0,L3101789,M1009726
LINE_L3101814_0,L3101814,L2897772
LINE_L3101827_0,L3101827,M1108540
LINE_L3101827_1,L3101827,N1142107
LINE_L3102286_0,L3102286,M1108433
LINE_L3102286_1,L3102286,M1108464
LINE_L3102793_0,L3102793,M1069600
LINE_L3103822_0,L3103822,M1047577
LINE_L3103822_1,L3103822,N1136669
LINE_L3104113_0,L3104113,L3104121
LINE_L3104114_0,L3104114,L3254234
LINE_L3104114_1,L3104114,M1009824
LINE_L3104115_0,L3104115,M1008743
LINE_L3104117_0,L3104117,L2933120
LINE_L3104117_1,L3104117,M1069494
LINE_L3104118_0,L3104118,L2748126
LINE_L3104118_1,L3104118,M1027073
LINE_L3104119_0,L3104119,N1137957
LINE_L3104120_0,L3104120,M1069154
LINE_L3104121_0,L3104121,L2673310
LINE_L3104121_1,L3104121,L3104113
LINE_L3104122_0,L3104122,L2785519
LINE_L3104122_1,L3104122,L2804283
LINE_L3104123_0,L3104123,N1136997
LINE_L3104124_0,L3104124,M1026939
LINE_L3104125_0,L3104125,L3160107
LINE_L3104125_1,L3104125,M1089131
LINE_L3104126_0,L3104126,M1069202
LINE_L3104127_0,L3104127,M1047424
LINE_L3104128_0,L3104128,L2673315
LINE_L3104128_1,L3104128,L2991912
LINE_L3104129_0,L3104129,N1136659
LINE_L3104130_0,L3104130,L2763072
LINE_L3104130_1,L3104130,M1026320
LINE_L3104131_0,L3104131,M1026366
LINE_L3104131_1,L3104131,M1026377
LINE_L3104132_0,L3104132,M1026387
LINE_L3104133_0,L3104133,M1047323
LINE_L3104133_1,L3104133,N1137961
LINE_L3104134_0,L3104134,L2860490
LINE_L3104134_1,L3104134,M1047346
LINE_L3104135_0,L3104135,M1026329
LINE_L3104136_0,L3104136,L2822872
LINE_L3104136_1,L3104136,M1047497
LINE_L3104144_0,L3104144,M1069564
LINE_L3104145_0,L3104145,L2804270
LINE_L3104154_0,L3104154,L2804282
LINE_L3104154_1,L3104154,L3104155
LINE_L3104155_0,L3104155,L3104154
LINE_L3104155_1,L3104155,M1069456
LINE_L3104157_0,L3104157,M1047299
LINE_L3104796_0,L3104796,M1125974
LINE_L3104830_0,L3104830,N1142103
LINE_L3104830_1,L3104830,N1142104
LINE_L3104850_0,L3104850,L3160862
LINE_L3104853_0,L3104853,M1142835
LINE_L3104856_0,L3104856,M1166356
LINE_L3104859_0,L3104859,L2970845
LINE_L3104859_1,L3104859,L3198358
LINE_L3108449_0,L3108449,M1108507
LINE_L3118855_0,L3118855,L3231255
LINE_L3118855_1,L3118855,M1089213
LINE_L3119793_0,L3119793,M1047371
LINE_L3119793_1,L3119793,M1047379
LINE_L3120376_0,L3120376,M1026906
LINE_L3120376_1,L3120376,M1026925
LINE_L3120484_0,L3120484,M1026886
LINE_L3120484_1,L3120484,M1026896
LINE_L3120502_0,L3120502,M1026792
LINE_L3120502_1,L3120502,M1026805
LINE_L3120503_0,L3120503,M1010013
LINE_L3120504_0,L3120504,M1010011
LINE_L3120534_0,L3120534,M1126016
LINE_L3120534_1,L3120534,M1126020
LINE_L3122810_0,L3122810,M1047824
LINE_L3122811_0,L3122811,N1139254
LINE_L3122812_0,L3122812,N1139252
LINE_L3122813_0,L3122813,L3085396
LINE_L3122814_0,L3122814,N1137989
LINE_L3122815_0,L3122815,M1027023
LINE_L3122816_0,L3122816,196-29518
LINE_L3122816_1,L3122816,L3160103
LINE_L3122817_0,L3122817,L2673314
LINE_L3122817_1,L3122817,N1147863
LINE_L3122818_0,L3122818,N1147861
LINE_L3122819_0,L3122819,M1069225
LINE_L3122820_0,L3122820,L2879074
LINE_L3122820_1,L3122820,L3141398
LINE_L3122821_0,L3122821,M1047485
LINE_L3122821_1,L3122821,M1047486
LINE_L3122822_0,L3122822,L2766723
LINE_L3122823_0,L3122823,M1026327
LINE_L3122824_0,L3122824,M1026366
LINE_L3122825_0,L3122825,L2991920
LINE_L3122825_1,L3122825,M1026361
LINE_L3122826_0,L3122826,M1047358
LINE_L3122826_1,L3122826,N1139537
LINE_L3122827_0,L3122827,L2954355
LINE_L3122827_1,L3122827,P827537
LINE_L3122835_0,L3122835,M1069590
LINE_L3122837_0,L3122837,L2991933
LINE_L3122837_1,L3122837,L3048222
LINE_L3122847_0,L3122847,M1026812
LINE_L3122848_0,L3122848,L3197661
LINE_L3122849_0,L3122849,L2691954
LINE_L3122849_1,L3122849,M1026357
LINE_L3123452_0,L3123452,D6198039-1_INT
LINE_L3123452_1,L3123452,M1125962
LINE_L3123509_0,L3123509,M1209772
LINE_L3123509_1,L3123509,M1209774
LINE_L3125349_0,L3125349,N1138603
LINE_L3125349_1,L3125349,N1138604
LINE_L3139086_0,L3139086,L3029520
LINE_L3139086_1,L3139086,M1047457
LINE_L3139103_0,L3139103,L3195327
LINE_L3139121_0,L3139121,L2763153
LINE_L3139121_1,L3139121,M1047299
LINE_L3139366_0,L3139366,M1186061
LINE_L3139366_1,L3139366,M4362177
LINE_L3139598_0,L3139598,L2916625
LINE_L3140238_0,L3140238,M1027100
LINE_L3141388_0,L3141388,L2785523
LINE_L3141388_1,L3141388,L3626914
LINE_L3141389_0,L3141389,L2860477
LINE_L3141389_1,L3141389,M1026942
LINE_L3141390_0,L3141390,M1008753
LINE_L3141393_0,L3141393,M1089195
LINE_L3141394_0,L3141394,M1108527
LINE_L3141395_0,L3141395,L3778577
LINE_L3141396_0,L3141396,L3066808
LINE_L3141396_1,L3141396,N1137956
LINE_L3141397_0,L3141397,L2860483
LINE_L3141398_0,L3141398,L3122820
LINE_L3141399_0,L3141399,L2860486
LINE_L3141399_1,L3141399,M1069210
LINE_L3141400_0,L3141400,M1089143
LINE_L3141401_0,L3141401,N1137995
LINE_L3141402_0,L3141402,N1140831
LINE_L3141403_0,L3141403,M1026820
LINE_L3141403_1,L3141403,M3037538
LINE_L3141411_0,L3141411,221-240988
LINE_L3141412_0,L3141412,L2748140
LINE_L3142049_0,L3142049,M1108490
LINE_L3142049_1,L3142049,M1108493
LINE_L3142050_0,L3142050,M1166398
LINE_L3142078_0,L3142078,L2879752
LINE_L3142078_1,L3142078,M1108257
LINE_L3142079_0,L3142079,M1125905
LINE_L3142079_1,L3142079,M3036162
LINE_L3142098_0,L3142098,M1125905
LINE_L3142099_0,L3142099,M1209748
LINE_L3143999_0,L3143999,M1069350
LINE_L3143999_1,L3143999,N1138604
LINE_L3150961_0,L3150961,221-703009
LINE_L3156034_0,L3156034,L3066821
LINE_L3156034_1,L3156034,M1009698
LINE_L3157167_0,L3157167,L2785511
LINE_L3157167_1,L3157167,M1089204
LINE_L3157708_0,L3157708,N1137991
LINE_L3157708_1,L3157708,P901913
LINE_L3157710_0,L3157710,M1047787
LINE_L3157710_1,L3157710,M1047793
LINE_L3157718_0,L3157718,N1140517
LINE_L3159037_0,L3159037,M1069730
LINE_L3159037_1,L3159037,M1069738
LINE_L3159448_0,L3159448,M1069311
LINE_L3159448_1,L3159448,N1138607
LINE_L3159645_0,L3159645,L2983432
LINE_L3159645_1,L3159645,M1047707
LINE_L3160098_0,L3160098,M1089207
LINE_L3160098_1,L3160098,M1089213
LINE_L3160100_0,L3160100,L3085390
LINE_L3160100_1,L3160100,M1027005
LINE_L3160101_0,L3160101,M1069398
LINE_L3160102_0,L3160102,M1026891
LINE_L3160102_1,L3160102,P827514
LINE_L3160103_0,L3160103,L3122816
LINE_L3160103_1,L3160103,M1026950
LINE_L3160104_0,L3160104,L3214112
LINE_L3160104_1,L3160104,M1047471
LINE_L3160105_0,L3160105,L3178977
LINE_L3160105_1,L3160105,L3235251
LINE_L3160106_0,L3160106,M1026660
LINE_L3160107_0,L3160107,L3104125
LINE_L3160107_1,L3160107,M1089141
LINE_L3160108_0,L3160108,L3029510
LINE_L3160108_1,L3160108,M1009843
LINE_L3160109_0,L3160109,196-29520
LINE_L3160109_1,L3160109,M1047497
LINE_L3160113_0,L3160113,M1069640
LINE_L3160114_0,L3160114,N1136361
LINE_L3160115_0,L3160115,L2935567
LINE_L3160115_1,L3160115,M1069554
LINE_L3160117_0,L3160117,L3215549
LINE_L3160117_1,L3160117,M1047795
LINE_L3160123_0,L3160123,L2897805
LINE_L3160123_1,L3160123,P827574
LINE_L3160793_0,L3160793,M1108375
LINE_L3160861_0,L3160861,P829956
LINE_L3160862_0,L3160862,L3104850
LINE_L3160862_1,L3160862,L3552667
LINE_L3160863_0,L3160863,L2730108
LINE_L3160863_1,L3160863,P829957
LINE_L3160864_0,L3160864,M1142826
LINE_L3160865_0,L3160865,M1142828
LINE_L3160865_1,L3160865,M1142832
LINE_L3160868_0,L3160868,L3082988
LINE_L3160868_1,L3160868,M1142808
LINE_L3160871_0,L3160871,L3030203
LINE_L3160871_1,L3160871,P829975
LINE_L3160872_0,L3160872,M1142860
LINE_L3160872_1,L3160872,Q1301
LINE_L3160878_0,L3160878,L2917336
LINE_L3160878_1,L3160878,M1108328
LINE_L3160896_0,L3160896,L2861197
LINE_L3172805_0,L3172805,M1026658
LINE_L3176656_0,L3176656,N1137985
LINE_L3176660_0,L3176660,M1069560
LINE_L3176661_0,L3176661,L2970804
LINE_L3176661_1,L3176661,L3048937
LINE_L3177665_0,L3177665,M1047486
LINE_L3177881_0,L3177881,N1147860
LINE_L3177894_0,L3177894,L3082993
LINE_L3177894_1,L3177894,M1010004
LINE_L3178969_0,L3178969,L2729401
LINE_L3178969_1,L3178969,M1009834
LINE_L3178971_0,L3178971,L2879067
LINE_L3178971_1,L3178971,M1047744
LINE_L3178972_0,L3178972,N1144664
LINE_L3178973_0,L3178973,L2991908
LINE_L3178974_0,L3178974,M1047831
LINE_L3178974_1,L3178974,M3327098
LINE_L3178975_0,L3178975,M1047777
LINE_L3178976_0,L3178976,M1026764
LINE_L3178976_1,L3178976,M1026779
LINE_L3178977_0,L3178977,L3160105
LINE_L3178977_1,L3178977,M1069213
LINE_L3178978_0,L3178978,M1026646
LINE_L3178978_1,L3178978,M1047432
LINE_L3178979_0,L3178979,N1137996
LINE_L3178980_0,L3178980,L2804261
LINE_L3178981_0,L3178981,L3066818
LINE_L3178981_1,L3178981,M1047368
LINE_L3178982_0,L3178982,M1009720
LINE_L3178988_0,L3178988,M1069565
LINE_L3178997_0,L3178997,M1026357
LINE_L3178997_1,L3178997,M1026363
LINE_L3179607_0,L3179607,M1108372
LINE_L3179608_0,L3179608,M1126031
LINE_L3179637_0,L3179637,M1166400
LINE_L3179646_0,L3179646,L2674027
LINE_L3179646_1,L3179646,L2955047
LINE_L3179650_0,L3179650,L2973791
LINE_L3179650_1,L3179650,L3232902
LINE_L3179673_0,L3179673,L3030203
LINE_L3179674_0,L3179674,L2936275
LINE_L3179674_1,L3179674,M1209758
LINE_L3179678_0,L3179678,L2804249
LINE_L3179678_1,L3179678,L2936279
LINE_L3179682_0,L3179682,L2786274
LINE_L3179682_1,L3179682,P860843
LINE_L3179699_0,L3179699,M1108278
LINE_L3181545_0,L3181545,N1138599
LINE_L3181545_1,L3181545,N1138603
LINE_L3189188_0,L3189188,N1140821
LINE_L3189189_0,L3189189,N1140820
LINE_L3189190_0,L3189190,L3226771
LINE_L3195310_0,L3195310,L2804252
LINE_L3195315_0,L3195315,M1069181
LINE_L3195315_1,L3195315,M1069191
LINE_L3195318_0,L3195318,M1108258
LINE_L3195321_0,L3195321,M1126016
LINE_L3195327_0,L3195327,L3139103
LINE_L3195327_1,L3195327,M1027114
LINE_L3195356_0,L3195356,M1069189
LINE_L3195356_1,L3195356,M1089112
LINE_L3195365_0,L3195365,P901912
LINE_L3195751_0,L3195751,M1026773
LINE_L3197618_0,L3197618,M1026941
LINE_L3197624_0,L3197624,M1027101
LINE_L3197624_1,L3197624,M1047834
LINE_L3197625_0,L3197625,N1136031
LINE_L3197626_0,L3197626,M1089162
LINE_L3197627_0,L3197627,M1089165
LINE_L3197628_0,L3197628,L2710510
LINE_L3197629_0,L3197629,M1047374
LINE_L3197630_0,L3197630,L3235256
LINE_L3197630_1,L3197630,M1069154
LINE_L3197631_0,L3197631,L2748127
LINE_L3197631_1,L3197631,L2897773
LINE_L3197632_0,L3197632,M1047769
LINE_L3197633_0,L3197633,L2879069
LINE_L3197634_0,L3197634,M1026916
LINE_L3197635_0,L3197635,M1047441
LINE_L3197636_0,L3197636,M1047424
LINE_L3197636_1,L3197636,M3036165
LINE_L3197637_0,L3197637,M1069175
LINE_L3197638_0,L3197638,M1026849
LINE_L3197638_1,L3197638,M1026874
LINE_L3197639_0,L3197639,N1139550
LINE_L3197640_0,L3197640,M4113345
LINE_L3197641_0,L3197641,L2973161
LINE_L3197641_1,L3197641,N1140524
LINE_L3197642_0,L3197642,M3036170
LINE_L3197643_0,L3197643,M1026327
LINE_L3197643_1,L3197643,M1026339
LINE_L3197644_0,L3197644,M1047358
LINE_L3197645_0,L3197645,M1047342
LINE_L3197646_0,L3197646,M1026851
LINE_L3197646_1,L3197646,M1026852
LINE_L3197647_0,L3197647,L2729429
LINE_L3197647_1,L3197647,M1026778
LINE_L3197652_0,L3197652,L2748143
LINE_L3197652_1,L3197652,N1136362
LINE_L3197653_0,L3197653,M1069597
LINE_L3197654_0,L3197654,M1069504
LINE_L3197660_0,L3197660,L3066830
LINE_L3197661_0,L3197661,L3122848
LINE_L3197661_1,L3197661,M1026898
LINE_L3198347_0,L3198347,M1166387
LINE_L3198348_0,L3198348,N1141479
LINE_L3198355_0,L3198355,L2711234
LINE_L3198355_1,L3198355,L2805037
LINE_L3198356_0,L3198356,M1108345
LINE_L3198356_1,L3198356,M1108350
LINE_L3198358_0,L3198358,L3104859
LINE_L3198358_1,L3198358,L3236011
LINE_L3200222_0,L3200222,L3217064
LINE_L3207907_0,L3207907,L2851933
LINE_L3207907_1,L3207907,M3037441
LINE_L3214055_0,L3214055,M1026331
LINE_L3214064_0,L3214064,M1047722
LINE_L3214069_0,L3214069,M1125952
LINE_L3214069_1,L3214069,M1125960
LINE_L3214071_0,L3214071,M1125947
LINE_L3214071_1,L3214071,M1125952
LINE_L3214112_0,L3214112,L3160104
LINE_L3214112_1,L3214112,L3254214
LINE_L3214549_0,L3214549,L2802481
LINE_L3214549_1,L3214549,M1108393
LINE_L3215203_0,L3215203,221-311905
LINE_L3215340_0,L3215340,M1027080
LINE_L3215340_1,L3215340,M1027087
LINE_L3215385_0,L3215385,M1089145
LINE_L3215549_0,L3215549,L2897800
LINE_L3215549_1,L3215549,L3160117
LINE_L3216123_0,L3216123,M1047615
LINE_L3216123_1,L3216123,N1136996
LINE_L3216336_0,L3216336,L2691936
LINE_L3216336_1,L3216336,M1026931
LINE_L3216337_0,L3216337,M1026931
LINE_L3216338_0,L3216338,L2973146
LINE_L3216338_1,L3216338,M1009840
LINE_L3216339_0,L3216339,M1008733
LINE_L3216342_0,L3216342,L2879063
LINE_L3216342_1,L3216342,M1069462
LINE_L3216343_0,L3216343,L3082981
LINE_L3216343_1,L3216343,M1089165
LINE_L3216344_0,L3216344,L2860501
LINE_L3216344_1,L3216344,M1047766
LINE_L3216345_0,L3216345,L2879070
LINE_L3216345_1,L3216345,M3768670
LINE_L3216346_0,L3216346,L2858163
LINE_L3216346_1,L3216346,M1026767
LINE_L3216347_0,L3216347,L2785523
LINE_L3216347_1,L3216347,M1069174
LINE_L3216348_0,L3216348,L2841627
LINE_L3216348_1,L3216348,M1047406
LINE_L3216349_0,L3216349,M1047471
LINE_L3216350_0,L3216350,N1141473
LINE_L3216351_0,L3216351,L2879081
LINE_L3216351_1,L3216351,N1140830
LINE_L3216358_0,L3216358,L2785531
LINE_L3216358_1,L3216358,M1026826
LINE_L3216361_0,L3216361,L2729434
LINE_L3216361_1,L3216361,M1026997
LINE_L3216367_0,L3216367,L2991939
LINE_L3216367_1,L3216367,M1069468
LINE_L3216368_0,L3216368,N1140825
LINE_L3216368_1,L3216368,N1140827
LINE_L3216370_0,L3216370,M1047312
LINE_L3216370_1,L3216370,M1047316
LINE_L3216988_0,L3216988,M1108372
LINE_L3217052_0,L3217052,M3037455
LINE_L3217053_0,L3217053,L2767408
LINE_L3217053_1,L3217053,M3037455
LINE_L3217056_0,L3217056,M1209782
LINE_L3217057_0,L3217057,M1209782
LINE_L3217064_0,L3217064,L3200222
LINE_L3217064_1,L3217064,M1142801
LINE_L3225319_0,L3225319,L3048201
LINE_L3225319_1,L3225319,M1008733
LINE_L3226771_0,L3226771,L3189190
LINE_L3226771_1,L3226771,N1140824
LINE_L3231255_0,L3231255,L3118855
LINE_L3231255_1,L3231255,N1144663
LINE_L3231269_0,L3231269,M3037537
LINE_L3232301_0,L3232301,M1069328
LINE_L3232301_1,L3232301,N1138608
LINE_L3232902_0,L3232902,L3179650
LINE_L3232902_1,L3232902,M4122658
LINE_L3232933_0,L3232933,M1026665
LINE_L3233353_0,L3233353,M1026777
LINE_L3233412_0,L3233412,M1108413
LINE_L3233412_1,L3233412,N1230122
LINE_L3233413_0,L3233413,L3252336
LINE_L3233413_1,L3233413,M1108464
LINE_L3234149_0,L3234149,221-311359
LINE_L3234185_0,L3234185,L3065750
LINE_L3234185_1,L3234185,M1069738
LINE_L3235241_0,L3235241,L2691941
LINE_L3235241_1,L3235241,M1027071
LINE_L3235242_0,L3235242,M1089195
LINE_L3235242_1,L3235242,P895089
LINE_L3235243_0,L3235243,M1069365
LINE_L3235244_0,L3235244,L2785514
LINE_L3235244_1,L3235244,M1069398
LINE_L3235245_0,L3235245,L2766716
LINE_L3235246_0,L3235246,L2710512
LINE_L3235246_1,L3235246,L2935568
LINE_L3235247_0,L3235247,L2673312
LINE_L3235248_0,L3235248,M1027042
LINE_L3235249_0,L3235249,L2954348
LINE_L3235249_1,L3235249,M1026925
LINE_L3235250_0,L3235250,M1047442
LINE_L3235251_0,L3235251,L3160105
LINE_L3235252_0,L3235252,M3036165
LINE_L3235253_0,L3235253,M1069192
LINE_L3235254_0,L3235254,M1026855
LINE_L3235254_1,L3235254,M3768670
LINE_L3235255_0,L3235255,L2897780
LINE_L3235255_1,L3235255,M1047316
LINE_L3235256_0,L3235256,L3197630
LINE_L3235256_1,L3235256,M1069136
LINE_L3235257_0,L3235257,L2822871
LINE_L3235257_1,L3235257,M1026851
LINE_L3235258_0,L3235258,N1140817
LINE_L3235266_0,L3235266,L2801950
LINE_L3235266_1,L3235266,L2841626
LINE_L3235267_0,L3235267,M1027068
LINE_L3235267_1,L3235267,M1027071
LINE_L3235268_0,L3235268,M1027068
LINE_L3235273_0,L3235273,L2933165
LINE_L3235275_0,L3235275,M1026347
LINE_L3235275_1,L3235275,M1026354
LINE_L3235945_0,L3235945,L2842330
LINE_L3235945_1,L3235945,M1108540
LINE_L3235946_0,L3235946,L3065665
